"endtime","starttime","censored","model"
3506,1278,TRUE,19
29396,21336,TRUE,19
23364,9341,TRUE,19
24831,5362,TRUE,16
3515,2674,FALSE,19
19378,17149,TRUE,19
20865,7412,TRUE,16
28767,11365,TRUE,19
9234,8249,FALSE,16
28771,11365,TRUE,19
18580,7138,TRUE,19
28106,4670,TRUE,16
18580,7138,TRUE,19
18580,7138,TRUE,19
28768,11365,TRUE,19
5092,1948,TRUE,19
28769,11365,TRUE,19
7737,1368,TRUE,19
36532,12616,TRUE,16
15963,7555,TRUE,16
28770,11366,TRUE,19
18580,7137,TRUE,19
3507,1278,TRUE,19
26212,6737,TRUE,16
23363,9340,TRUE,19
8269,7138,FALSE,19
37681,15741,TRUE,16
13437,5376,TRUE,19
25394,3893,TRUE,16
35995,15138,TRUE,16
5538,9,TRUE,19
38135,14635,TRUE,16
33428,13914,TRUE,16
16931,9249,TRUE,16
19964,15282,FALSE,16
10007,1948,TRUE,19
3507,1278,TRUE,19
23363,9340,TRUE,19
25122,3737,TRUE,16
25104,7067,TRUE,16
28527,11123,TRUE,19
13246,5184,TRUE,19
23712,6330,TRUE,16
3504,1277,TRUE,19
10348,1110,FALSE,19
3859,17,TRUE,19
21240,9340,TRUE,19
11238,1352,TRUE,19
28769,11365,TRUE,19
4205,1977,TRUE,19
3507,1278,TRUE,19
18581,7138,TRUE,19
7071,2832,TRUE,19
18580,7137,TRUE,19
10007,1948,TRUE,19
18068,11366,FALSE,19
17042,5360,FALSE,16
30454,6209,TRUE,16
28771,11366,TRUE,19
7386,1017,TRUE,19
13743,9086,FALSE,16
21552,3876,TRUE,16
18580,7137,TRUE,19
3506,1278,TRUE,19
17395,6353,FALSE,16
10009,1948,TRUE,19
15572,6565,FALSE,16
11707,1948,TRUE,19
19747,6514,TRUE,19
14140,2697,TRUE,19
28770,11365,TRUE,19
7737,1368,TRUE,19
18579,7137,TRUE,19
11049,1160,TRUE,19
18580,7138,TRUE,19
18581,7138,TRUE,19
25361,6664,TRUE,16
18242,9861,TRUE,16
11663,1948,TRUE,19
23362,9340,TRUE,19
3505,1277,TRUE,19
21408,6519,TRUE,16
20886,3033,TRUE,16
16585,7553,TRUE,16
25595,5721,TRUE,16
13244,5184,TRUE,19
36240,12739,TRUE,16
29337,15290,TRUE,19
23364,9341,TRUE,19
18295,2868,FALSE,16
16273,1368,TRUE,19
18580,7138,TRUE,19
1304,967,TRUE,19
18579,7137,TRUE,19
11223,6564,TRUE,16
11239,1351,TRUE,19
11240,1351,TRUE,19
18579,7137,TRUE,19
23363,9341,TRUE,19
23364,9341,TRUE,19
11240,1351,TRUE,19
18581,7138,TRUE,19
23363,9341,TRUE,19
11708,1948,TRUE,19
11707,1948,TRUE,19
18580,7138,TRUE,19
28771,11366,TRUE,19
23364,9341,TRUE,19
21945,4867,TRUE,16
11238,1351,TRUE,19
11239,1351,TRUE,19
28769,11365,TRUE,19
30074,11804,TRUE,16
23990,3516,TRUE,16
7482,1114,TRUE,19
3504,1277,TRUE,19
21239,9340,TRUE,19
25081,5871,TRUE,16
11707,1948,TRUE,19
23363,9340,TRUE,19
6543,178,FALSE,16
23364,9340,TRUE,19
25745,6043,TRUE,16
3745,1368,FALSE,19
11710,1948,TRUE,19
7737,1368,TRUE,19
24346,4474,TRUE,16
19101,4190,TRUE,16
21239,9340,FALSE,19
28766,11364,TRUE,19
11239,1351,TRUE,19
3504,1277,TRUE,19
18580,7138,TRUE,19
3504,1277,TRUE,19
28767,11365,TRUE,19
3507,1278,TRUE,19
3508,1278,TRUE,19
26318,5391,TRUE,16
10010,1948,TRUE,19
12468,12131,TRUE,19
15072,7673,FALSE,16
28771,11366,TRUE,19
18579,7137,TRUE,19
7691,1322,TRUE,19
28462,9355,TRUE,16
7736,1368,TRUE,19
18580,7137,TRUE,19
18580,7137,TRUE,19
14077,4318,TRUE,19
20940,11052,TRUE,19
23363,9340,TRUE,19
28767,11365,TRUE,19
9779,3411,TRUE,19
11241,1351,TRUE,19
24901,7496,TRUE,19
11241,1351,TRUE,19
3507,1278,TRUE,19
18175,6733,TRUE,19
8313,6300,TRUE,16
31320,7073,TRUE,16
25277,6881,TRUE,16
11708,1948,TRUE,19
22231,4190,TRUE,16
11706,1948,TRUE,19
6491,3347,TRUE,9
8886,8742,FALSE,9
655,320,TRUE,10
179,11,FALSE,9
8535,3873,FALSE,9
9046,9,FALSE,9
34,9,FALSE,11
8538,4039,FALSE,9
10154,9,FALSE,9
13516,8741,FALSE,9
5170,10,FALSE,9
3859,9,FALSE,9
631,295,TRUE,11
3305,1520,FALSE,9
2382,2118,TRUE,11
447,177,FALSE,9
16382,10,TRUE,10
10593,7545,FALSE,9
19515,10,TRUE,9
3090,679,TRUE,10
24688,8407,FALSE,9
7182,4039,TRUE,9
17424,177,TRUE,9
17763,526,TRUE,9
5483,2670,FALSE,9
742,12,FALSE,9
14819,12,TRUE,9
3019,177,FALSE,11
12692,9,TRUE,9
10272,177,FALSE,9
4067,3992,FALSE,9
128,12,FALSE,10
1596,12,TRUE,9
655,320,TRUE,10
8459,322,TRUE,9
14367,12,TRUE,9
8384,10,TRUE,9
656,320,TRUE,10
12487,13,FALSE,9
3957,2697,FALSE,9
24309,7763,FALSE,9
11139,12,FALSE,9
14029,323,FALSE,9
6106,10,FALSE,9
2793,10,TRUE,9
4985,3889,FALSE,9
946,10,FALSE,9
20112,2864,TRUE,9
18326,2698,FALSE,9
11708,11,FALSE,9
2824,679,FALSE,11
7726,12,FALSE,9
13407,13,FALSE,9
3002,8,FALSE,9
8226,10,FALSE,9
185,11,FALSE,11
631,295,TRUE,11
1782,7,FALSE,10
12972,2795,FALSE,9
19380,3873,TRUE,9
1594,8,FALSE,10
5269,13,FALSE,9
12450,2120,TRUE,11
5965,2865,TRUE,9
655,319,TRUE,10
656,319,TRUE,10
10157,12,FALSE,9
4108,10,FALSE,9
5813,4880,FALSE,9
17181,5166,FALSE,9
4567,3700,FALSE,9
17179,4831,FALSE,9
11561,5724,FALSE,9
21619,5721,TRUE,9
21623,6056,FALSE,9
17103,5003,FALSE,9
6874,6058,FALSE,9
14773,5723,FALSE,9
4307,4211,FALSE,9
1464,420,FALSE,9
18564,5317,FALSE,9
12003,5315,FALSE,9
22187,6056,TRUE,9
8698,5556,TRUE,9
8071,6587,FALSE,9
13730,9,FALSE,9
631,295,TRUE,11
4449,10,FALSE,9
20268,177,FALSE,9
13046,8,FALSE,10
147,10,FALSE,10
5369,3536,FALSE,9
1994,9,FALSE,9
19530,2865,FALSE,9
3742,2795,FALSE,9
8405,3465,FALSE,9
6344,3200,TRUE,9
2770,678,FALSE,11
11958,10,TRUE,9
4015,3466,FALSE,9
5462,3779,FALSE,9
6847,3703,TRUE,9
4315,3705,FALSE,9
5464,4380,FALSE,9
5500,3201,FALSE,9
6238,5072,FALSE,9
4608,3465,FALSE,9
18000,3346,FALSE,9
3990,3347,FALSE,9
10003,4514,FALSE,9
4562,2626,FALSE,9
5492,3131,FALSE,9
19118,2454,FALSE,9
16103,3511,FALSE,9
6473,3703,FALSE,9
4626,3368,FALSE,9
4920,3132,FALSE,9
16681,3201,FALSE,9
20924,3704,TRUE,9
5338,4211,TRUE,9
18705,3176,FALSE,9
17772,3201,FALSE,9
15103,3537,FALSE,9
7524,4380,TRUE,9
6188,3679,FALSE,9
3965,2626,FALSE,9
8705,3368,FALSE,9
4293,2698,FALSE,9
10684,2118,FALSE,11
13130,2696,FALSE,9
3131,2796,FALSE,9
3154,9,FALSE,9
18562,2455,FALSE,9
6480,8,FALSE,9
5159,348,FALSE,9
18032,4378,FALSE,17
44041,29243,FALSE,18
44928,28774,FALSE,18
47762,29234,TRUE,18
47022,28398,TRUE,18
45761,27138,TRUE,18
45096,26472,TRUE,18
45274,26678,TRUE,18
46192,27571,TRUE,18
45845,27225,TRUE,18
46190,27571,TRUE,18
38340,21329,FALSE,17
39709,21186,TRUE,17
40154,21627,TRUE,17
39907,21284,TRUE,17
39947,21323,TRUE,17
39431,20809,TRUE,17
39550,20928,TRUE,17
38589,20808,TRUE,17
39944,21320,TRUE,17
39930,21305,TRUE,17
40264,21639,TRUE,17
39436,20812,TRUE,17
27431,12508,FALSE,15
23423,12509,FALSE,15
18957,8692,FALSE,15
28561,18634,FALSE,15
26943,13102,FALSE,15
14035,8172,FALSE,15
35788,17164,TRUE,18
20451,2289,TRUE,17
30044,11469,TRUE,17
38805,26541,FALSE,18
45663,27141,TRUE,18
45641,27096,TRUE,18
46326,27704,TRUE,18
45132,26527,TRUE,18
46195,27589,TRUE,18
